"","iteration","choice","trait","neutral"
"1",1,0.485477178423237,0.487179487179487,0.47534516765286
"2",2,0.532338308457711,0.515810276679842,0.49802371541502
"3",3,0.512820512820513,0.552,0.494
"4",4,0.546728971962617,0.529644268774704,0.49604743083004
"5",5,0.599118942731278,0.526627218934911,0.469428007889546
"6",6,0.645739910313901,0.535123966942149,0.448347107438017
"7",7,0.635983263598326,0.556451612903226,0.443548387096774
"8",8,0.652777777777778,0.567460317460317,0.472222222222222
"9",9,0.644444444444444,0.574948665297741,0.480492813141684
"10",10,0.636734693877551,0.585513078470825,0.462776659959759
"11",11,0.660377358490566,0.582677165354331,0.452755905511811
"12",12,0.616071428571429,0.569444444444444,0.46031746031746
"13",13,0.671052631578947,0.574850299401198,0.49500998003992
"14",14,0.577981651376147,0.587786259541985,0.520992366412214
"15",15,0.555555555555556,0.538759689922481,0.513565891472868
"16",16,0.533018867924528,0.541751527494908,0.492871690427699
"17",17,0.555555555555556,0.548254620123203,0.503080082135524
"18",18,0.594470046082949,0.551307847082495,0.509054325955734
"19",19,0.585903083700441,0.558333333333333,0.483333333333333
"20",20,0.579831932773109,0.57396449704142,0.469428007889546
"21",21,0.626865671641791,0.526315789473684,0.463937621832359
"22",22,0.675555555555556,0.528225806451613,0.463709677419355
"23",23,0.689956331877729,0.549800796812749,0.458167330677291
"24",24,0.658986175115207,0.524950099800399,0.441117764471058
"25",25,0.590909090909091,0.527777777777778,0.454365079365079
"26",26,0.621145374449339,0.537549407114625,0.466403162055336
"27",27,0.6289592760181,0.558415841584158,0.433663366336634
"28",28,0.578703703703704,0.568588469184891,0.42544731610338
"29",29,0.554166666666667,0.555110220440882,0.440881763527054
"30",30,0.558035714285714,0.536121673003802,0.484790874524715
"31",31,0.541871921182266,0.527667984189723,0.513833992094862
"32",32,0.554655870445344,0.56701030927835,0.498969072164948
"33",33,0.536697247706422,0.565217391304348,0.470355731225296
"34",34,0.573394495412844,0.525812619502868,0.476099426386233
"35",35,0.525821596244131,0.505030181086519,0.509054325955734
"36",36,0.591666666666667,0.51875,0.495833333333333
"37",37,0.557446808510638,0.515923566878981,0.51380042462845
"38",38,0.526530612244898,0.508403361344538,0.508403361344538
"39",39,0.502183406113537,0.523613963039014,0.490759753593429
"40",40,0.454148471615721,0.502982107355865,0.485089463220676
"41",41,0.416309012875536,0.496868475991649,0.432150313152401
"42",42,0.438818565400844,0.460285132382892,0.45010183299389
"43",43,0.42152466367713,0.46972860125261,0.448851774530271
"44",44,0.403361344537815,0.460251046025105,0.47489539748954
"45",45,0.470046082949309,0.484909456740443,0.470824949698189
"46",46,0.458874458874459,0.485943775100402,0.461847389558233
"47",47,0.452488687782805,0.484189723320158,0.488142292490119
"48",48,0.47906976744186,0.494908350305499,0.484725050916497
"49",49,0.484848484848485,0.486111111111111,0.450396825396825
"50",50,0.413145539906103,0.477099236641221,0.477099236641221
"51",51,0.412844036697248,0.490384615384615,0.471153846153846
